model,mae,rmse,r2
linear_regression,4033.6939312371646,4779.086173976283,-0.4049009667227661
random_forest,3376.787878787879,3863.123410512339,0.08202014084936649
lstm,2754.83203125,3599.958194201705,0.2508174777030945
history_weather_lstm,2861.640869140625,3314.877976638054,0.32408660650253296
notebook_inspired_lstm,3209.01611328125,3688.0162689445933,0.16335421800613403
stacking_meta_model,3866.9013313321584,4313.373346117554,-0.1444322532082607
ensemble,2761.514101079244,3089.943122426803,0.44141585232938496
