feature,importance
temp_mean_lag_3,0.14841961565139727
temp_mean_lag_2,0.0823208546822368
temp_min_lag_3,0.0808091286678844
temp_max_lag_3,0.07857709149030177
temp_min_lag_2,0.05694695554560181
humidity_mean_lag_1,0.04250811920414664
humidity_7h,0.03817695319243434
temp_min_lag_1,0.036748127193001495
temp_max_lag_2,0.03537783272330293
wind_mean,0.0300659366884748
